CÓDIGO OACI;CIAD;NOME;MUNICÍPIO ATENDIDO;UF;LATITUDE;LONGITUDE;ALTITUDE;OPERAÇÃO;OACI;AIP BRASIL;DESIGNAÇÃO1;COMPRIMENTO1;LARGURA1;RESISTÊNCIA1;SUPERFÍCIE1;DESIGNAÇÃO2;COMPRIMENTO2;LARGURA2;RESISTÊNCIA2;SUPERFÍCIE2;DESIGNAÇÃO3;COMPRIMENTO3;LARGURA3;RESISTÊNCIA3;SUPERFÍCIE3;RAMPA(S) DE APROXIMAÇÃO;FORMATO DA ÁREA DE POUSO;DIMENSÕES;RESISTÊNCIA;SUPERFÍCIE;p1;p2;p3;p4;PORTARIAS;Unnamed: 36;Unnamed: 37;Unnamed: 38;Portaria nº 7.445/2022 e alterações posteriores;"PORTARIA Nº 7736/2022 e alterações posteriores
A Classe I se divide ainda em I-A, sem voo regular e I-B, com voo regular";"PORTARIA Nº 2007/2014 E ALTERAÇÕES
(* = REGIME TARIFÁRIO DIFERENCIADO)";AERONAVE CRÍTICA;TIPO DE APROX. (CABECEIRAS);FREQ. SEMANAL;r1;r2;REFERÊNCIA(S);RESTRIÇÃO(ÕES);SITUAÇÃO;r1.1;REFERÊNCIA;SITUADO NA AMAZÔNIA LEGAL;OBSERVAÇÕES;ICAO;TYPE;LATITUDE_d;LONGITUDE_d;ALTITUDE_m;DESIGNAÇÃO1_d_NM;COMPRIMENTO1_m;LARGURA1_m;DESIGNAÇÃO2_d_NM;COMPRIMENTO2_m;LARGURA2_m;DESIGNAÇÃO3_d_NM;COMPRIMENTO3_m;LARGURA3_m;N_RWYs
SBGL;RJ0001;RIO DE JANEIRO/GALEÃO – ANTÔNIO CARLOS JOBIM;RIO DE JANEIRO;RJ;22° 48' 36'' S;43° 15' 2'' W;9 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 10/28;4000 m;45 m;PCN 78/R/A/W/T;Concreto; 15/33;3180 m;47 m;PCN 73/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;PA2021-6801;0;0;0;PA2021-6801;;;;AP-3;Classe IV;1ª (*);4E;"PA2(10) / PA1(28;15) / NPA(33)";;PA2015-2166;-;PA2015-2166;-;-;-;-;;-;SBGL;BR_publico_Atualizadoem_19JUL2022;-22,81;-43,25055556;9;100;4000;45;150;3180;47;;;;2
SBGM;RO0006;GUAJARÁ-MIRIM;GUAJARÁ-MIRIM;RO;10° 47' 18'' S;65° 16' 54'' W;146 m;VFR Diurno/Noturno;-;-; 17/35;1795 m;45 m;PCN 30/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0974;0;0;0;PA2020-0974;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2020-0882;PA2020-0882;X;-;SBGM;BR_publico_Atualizadoem_19JUL2022;-10,78833333;-65,28166667;146;170;1795;45;;;;;;;1
SBGO;GO0001;SANTA GENOVEVA/GOIÂNIA;GOIÂNIA;GO;16° 37' 57'' S;49° 13' 16'' W;747 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 14/32;2286 m;45 m;PCN 67/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-3371;0;0;0;PA2017-3371;;;;AP-2;Classe III;1ª;4C;"NPA(14;32)";;PA2022-7300;-;PA2022-7300;-;-;-;-;;-;SBGO;BR_publico_Atualizadoem_19JUL2022;-16,6325;-49,22111111;747;140;2286;45;;;;;;;1
SBGR;SP0002;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;SP;23° 26' 8'' S;46° 28' 23'' W;750 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 9L/27R;3700 m;45 m;PCN 77/F/B/W/T;Asfalto; 9R/27L;3000 m;45 m;PCN 77/F/B/W/T;Asfalto;-;-;-;-;-;-;-;-;-;-;PA2019-3642;0;0;0;PA2019-3642;;;;AP-3;Classe IV;1ª (*);4E;"PA3-A(09R)/ PA2(09L)/ PA1(27L;27R)";;PA2013-2987;-;PA2013-2987;-;-;-;-;;-;SBGR;BR_publico_Atualizadoem_19JUL2022;-23,43555556;-46,47305556;750;90;3700;45;90;3000;45;;;;2
SSGG;PR0009;AEROPORTO REGIONAL DE GUARAPUAVA - TANCREDO THOMÁS DE FARIA;GUARAPUAVA;PR;25° 23' 18'' S;51° 31' 25'' W;1065 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 08/26;1365 m;30 m;PCN 23/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-5002;0;0;0;PA2021-5002;;;;AP-1;Classe I;4ª;2C;NPA;;PA2021-6333;-;PA2021-6333;-;-;-;-;;-;SSGG;BR_publico_Atualizadoem_19JUL2022;-25,38833333;-51,52361111;1065;80;1365;30;;;;;;;1
SBGV;MG0032;CORONEL ALTINO MACHADO;GOVERNADOR VALADARES;MG;18° 53' 49'' S;41° 59' 10'' W;171 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 07/25;1701 m;30 m;PCN 31/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-0908;0;0;0;PA2015-0908;;;;AP-1;Classe I;3ª;2C;NPA;;PA2019-1077;-;PA2019-1077;-;-;-;-;;-;SBGV;BR_publico_Atualizadoem_19JUL2022;-18,89694444;-41,98611111;171;70;1701;30;;;;;;;1
SBGW;SP0076;GUARATINGUETÁ;GUARATINGUETÁ;SP;22° 47' 30'' S;45° 12' 16'' W;537 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 02/20;1551 m;30 m;PCN 15/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1020;0;0;0;PA2020-1020;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SBGW;BR_publico_Atualizadoem_19JUL2022;-22,79166667;-45,20444444;537;20;1551;30;;;;;;;1
SBHT;PA0003;ALTAMIRA;ALTAMIRA;PA;3° 15' 3'' S;52° 15' 8'' W;112 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 07/25;2003 m;30 m;PCN 36/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-2887;0;0;0;PA2017-2887;;;;AP-1;Classe I;2ª;4C;NPA;95;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;-;-;X;-;SBHT;BR_publico_Atualizadoem_19JUL2022;-3,250833333;-52,25222222;112;70;2003;30;;;;;;;1
SBIC;AM0012;ITACOATIARA;ITACOATIARA;AM;3° 7' 35'' S;58° 28' 54'' W;43 m;VFR Diurno;-;-; 14/32;1515 m;30 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2359;0;0;0;PA2018-2359;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;X;-;SBIC;BR_publico_Atualizadoem_19JUL2022;-3,126388889;-58,48166667;43;140;1515;30;;;;;;;1
SBIH;PA0010;ITAITUBA;ITAITUBA;PA;4° 14' 32'' S;56° 0' 3'' W;33 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 05/23;1700 m;30 m;PCN 26/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1747;0;0;0;PA2020-1747;;;;AP-1;Classe I;3ª;3C;NPA;29;-;PA2016-0908;-;PA2016-0908;-;-;-;X;-;SBIH;BR_publico_Atualizadoem_19JUL2022;-4,242222222;-56,00083333;33;50;1700;30;;;;;;;1
SBIL;BA0004;BAHIA - JORGE AMADO;ILHÉUS;BA;14° 48' 54'' S;39° 2' 0'' W;4 m;VFR Diurno/Noturno;-;-; 11/29;1577 m;45 m;PCN 50/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2422;0;0;0;PA2020-2422;;;;AP-1;Classe II;2ª;4C;NPA;23;-;PA2016-0908;-;PA2016-0908;-;-;-;;-;SBIL;BR_publico_Atualizadoem_19JUL2022;-14,815;-39,03333333;4;110;1577;45;;;;;;;1
SBIP;MG0007;USIMINAS;SANTANA DO PARAÍSO;MG;19° 28' 14'' S;42° 29' 17'' W;239 m;VFR Diurno e IFR Diurno/Noturno;-;-; 05/23;2005 m;45 m;PCN 33/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-7095;0;0;0;PA2022-7095;;;;AP-1;Classe I;3ª;3C;NPA;32;-;PA2016-0908;-;PA2016-0908;-;-;-;;-;SBIP;BR_publico_Atualizadoem_19JUL2022;-19,47055556;-42,48805556;239;50;2005;45;;;;;;;1
SBIZ;MA0002;PREFEITO RENATO MOREIRA;IMPERATRIZ;MA;5° 31' 50'' S;47° 27' 30'' W;131 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 07/25;1798 m;45 m;PCN 50/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2252;0;0;0;PA2018-2252;;;;AP-1;Classe II;2ª;4C;NPA;46;-;PA2016-0908;-;PA2016-0908;-;-;-;X;-;SBIZ;BR_publico_Atualizadoem_19JUL2022;-5,530555556;-47,45833333;131;70;1798;45;;;;;;;1
SBJD;SP0031;COMANDANTE ROLIM ADOLFO AMARO;JUNDIAÍ;SP;23° 10' 54'' S;46° 56' 37'' W;753 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 18/36;1400 m;30 m;PCN 21/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-3807;0;0;0;PA2018-3807;;;;AP-1;Classe I;3ª;-;NPA;-;-;-;-;-;-;-;-;;-;SBJD;BR_publico_Atualizadoem_19JUL2022;-23,18166667;-46,94361111;753;180;1400;30;;;;;;;1
SBJF;MG0016;FRANCISCO DE ASSIS;JUIZ DE FORA;MG;21° 47' 35'' S;43° 23' 8'' W;911 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 03/21;1535 m;30 m;PCN 32/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1921;0;0;0;PA2020-1921;;;;AP-0;Classe I;3ª;3C;NPA;29;-;PA2016-0908;-;PA2016-0908;-;-;-;;-;SBJF;BR_publico_Atualizadoem_19JUL2022;-21,79305556;-43,38555556;911;30;1535;30;;;;;;;1
SBJI;RO0005;JI-PARANÁ;JI-PARANÁ;RO;10° 52' 14'' S;61° 50' 48'' W;182 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 03/21;1800 m;45 m;PCN 30/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-5871;0;0;0;PA2021-5871;;;;AP-1;Classe I;3ª;3C;NPA;;PA2021-5942;-;PA2021-5942;-;-;-;-;X;-;SBJI;BR_publico_Atualizadoem_19JUL2022;-10,87055556;-61,84666667;182;30;1800;45;;;;;;;1
SBJP;PB0001;PRESIDENTE CASTRO PINTO;JOÃO PESSOA;PB;7° 8' 54'' S;34° 57' 1'' W;66 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 16/34;2515 m;45 m;PCN 52/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-1203;0;0;0;PA2015-1203;;;;AP-2;Classe III;2ª;4C;NPA;;PA2022-7340;-;PA2022-7340;-;-;-;-;;-;SBJP;BR_publico_Atualizadoem_19JUL2022;-7,148333333;-34,95027778;66;160;2515;45;;;;;;;1
SBJR;RJ0005;JACAREPAGUÁ - ROBERTO MARINHO;RIO DE JANEIRO;RJ;22° 59' 15'' S;43° 22' 12'' W;3 m;VFR Diurno/Noturno;-;-; 03/21;900 m;30 m;PCN 10/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-1808;0;0;0;PA2017-1808;;;;AP-0;Classe II;2ª;-;-;-;-;-;-;-;-;-;-;;-;SBJR;BR_publico_Atualizadoem_19JUL2022;-22,9875;-43,37;3;30;900;30;;;;;;;1
SBJU;CE0002;ORLANDO BEZERRA DE MENEZES;JUAZEIRO DO NORTE;CE;7° 13' 9'' S;39° 16' 10'' W;409 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 13/31;1940 m;45 m;PCN 45/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-0624;0;0;0;PA2019-0624;;;;AP-1;Classe II;2ª;4C;NPA;42;-;PA2016-0908;-;PA2016-0908;-;-;-;;-;SBJU;BR_publico_Atualizadoem_19JUL2022;-7,219166667;-39,26944444;409;130;1940;45;;;;;;;1
SBJV;SC0004;LAURO CARNEIRO DE LOYOLA;JOINVILLE;SC;26° 13' 23'' S;48° 47' 52'' W;5 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 15/33;1540 m;45 m;PCN 51/F/A/W/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1029;0;0;0;PA2020-1029;;;;AP-1;Classe II;1ª;4C;PA1(33) / NPA(15);;PA2022-7427;-;PA2022-7427;-;-;-;-;;-;SBJV;BR_publico_Atualizadoem_19JUL2022;-26,22305556;-48,79777778;5;150;1540;45;;;;;;;1
SBKG;PB0003;PRESIDENTE JOÃO SUASSUNA;CAMPINA GRANDE;PB;7° 16' 9'' S;35° 53' 42'' W;502 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 15/33;1600 m;42 m;PCN 50/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-0575;0;0;0;PA2016-0575;;;;AP-1;Classe I;2ª;4C;NPA;16;-;PA2016-0908;-;PA2016-0908;-;-;-;;-;SBKG;BR_publico_Atualizadoem_19JUL2022;-7,269166667;-35,895;502;150;1600;42;;;;;;;1
SBKP;SP0003;VIRACOPOS;CAMPINAS;SP;23° 0' 25'' S;47° 8' 4'' W;661 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 15/33;3240 m;45 m;PCN 56/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-3677;0;0;0;PA2018-3677;;;;AP-3;Classe IV;1ª (*);4E;PA1(15) / NPA(33);;PA2014-1388 / PA2018-3198 / PA2020-0552;-;PA2014-1388 / PA2018-3198 / PA2020-0552;-;-;-;-;;-;SBKP;BR_publico_Atualizadoem_19JUL2022;-23,00694444;-47,13444444;661;150;3240;45;;;;;;;1
SBLE;BA0006;HORÁCIO DE MATTOS;LENÇÓIS;BA;12° 28' 56'' S;41° 16' 37'' W;506 m;VFR Diurno/Noturno;-;-; 14/32;2082 m;30 m;PCN 44/R/A/W/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-2870;0;0;0;PA2015-2870;;;;AP-0;Classe I;3ª;3C;NINST;7;-;PA2016-0908;-;PA2016-0908;-;-;-;;-;SBLE;BR_publico_Atualizadoem_19JUL2022;-12,48222222;-41,27694444;506;140;2082;30;;;;;;;1
SBLJ;SC0007;LAGES;LAGES;SC;27° 46' 56'' S;50° 16' 54'' W;934 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 17/35;1532 m;30 m;PCN 17/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-1562;0;0;0;PA2016-1562;;;;AP-0;Classe I;4ª;2C;"NPA(17;35)";-;-;-;-;-;-;-;-;;-;SBLJ;BR_publico_Atualizadoem_19JUL2022;-27,78222222;-50,28166667;934;170;1532;30;;;;;;;1
SBLO;PR0003;GOVERNADOR JOSÉ RICHA;LONDRINA;PR;23° 19' 49'' S;51° 8' 12'' W;569 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 13/31;2100 m;45 m;PCN 43/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-1601;0;0;0;PA2018-1601;;;;AP-1;Classe II;2ª;4C;NPA;;PA2022-7425;-;PA2022-7425;-;-;-;-;;-;SBLO;BR_publico_Atualizadoem_19JUL2022;-23,33027778;-51,13666667;569;130;2100;45;;;;;;;1
SBLP;BA0037;BOM JESUS DA LAPA;BOM JESUS DA LAPA;BA;13° 15' 41'' S;43° 24' 27'' W;443 m;VFR Diurno/Noturno e IFR Diurno;-;-; 18/36;1211 m;30 m;PCN 9/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-;SBLP;BR_publico_Atualizadoem_19JUL2022;-13,26138889;-43,4075;443;180;1211;30;;;;;;;1
SBMA;PA0004;JOÃO CORREA DA ROCHA;MARABÁ;PA;5° 22' 5'' S;49° 8' 17'' W;109 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 07/25;2000 m;45 m;PCN 40/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-1179;0;0;0;PA2018-1179;;;;AP-1;Classe II;2ª;4C;NPA;35;-;PA2016-0908;-;PA2016-0908;-;-;-;X;-;SBMA;BR_publico_Atualizadoem_19JUL2022;-5,368055556;-49,13805556;109;70;2000;45;;;;;;;1
SBMD;PA0009;MONTE DOURADO;ALMEIRIM;PA;0° 53' 23'' S;52° 36' 8'' W;206 m;VFR Diurno;-;-; 08/26;1800 m;30 m;PCN 25/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1922;0;0;0;PA2020-1922;;;;AP-1;Classe I;3ª;3C;NPA;8;-;PA2016-0908;-;PA2016-0908;-;-;-;X;-;SBMD;BR_publico_Atualizadoem_19JUL2022;-0,889722222;-52,60222222;206;80;1800;30;;;;;;;1
SBME;RJ0004;MACAÉ;MACAÉ;RJ;22° 20' 34'' S;41° 45' 50'' W;2 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 06/24;1200 m;30 m;PCN 19/F/C/W/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-3922;0;0;0;PA2019-3922;;;;AP-1;Classe I;2ª;2C;NPA;;PA2021-6757;-;PA2021-6757;-;-;-;-;;-;SBME;BR_publico_Atualizadoem_19JUL2022;-22,34277778;-41,76388889;2;60;1200;30;;;;;;;1
SBMG;PR0004;SÍLVIO NAME JÚNIOR;MARINGÁ;PR;23° 28' 46'' S;52° 0' 44'' W;549 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RNS;INTL CARGA; 10/28;2380 m;45 m;PCN 45/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4088;0;0;0;PA2021-4088;;;;AP-1;Classe II;2ª;4D;NPA;;PA2022-7199;-;PA2022-7199;-;-;-;-;;-;SBMG;BR_publico_Atualizadoem_19JUL2022;-23,47944444;-52,01222222;549;100;2380;45;;;;;;;1
SBMK;MG0004;MÁRIO RIBEIRO;MONTES CLAROS;MG;16° 42' 22'' S;43° 49' 19'' W;668 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 12/30;2100 m;45 m;PCN 34/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-1719;0;0;0;PA2014-1719;;;;AP-1;Classe II;2ª;4C;NPA;;PA2022-7397;-;PA2022-7397;-;-;-;-;;-;SBMK;BR_publico_Atualizadoem_19JUL2022;-16,70611111;-43,82194444;668;120;2100;45;;;;;;;1
SBML;SP0014;FRANK MILOYE MILENKOVICH;MARÍLIA;SP;22° 11' 44'' S;49° 55' 37'' W;650 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 03/21;1700 m;35 m;PCN 35/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-1580;0;0;0;PA2017-1580;;;;AP-1;Classe I;3ª;3C;NPA;20;-;PA2016-0908;-;PA2016-0908;-;-;-;;-;SBML;BR_publico_Atualizadoem_19JUL2022;-22,19555556;-49,92694444;650;30;1700;35;;;;;;;1
SBMO;AL0001;ZUMBI DOS PALMARES;MACEIÓ;AL;9° 30' 39'' S;35° 47' 30'' W;118 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX; 12/30;2602 m;45 m;PCN 46/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-6020;0;0;0;PA2021-6020;;;;AP-2;Classe III;1ª;4E;PA1(12) / NPA(30);;PA2022-7249/PA2020-0328 / PA2021-4215;-;PA2022-7249/PA2020-0328 / PA2021-4215;-;-;-;-;;-;SBMO;BR_publico_Atualizadoem_19JUL2022;-9,510833333;-35,79166667;118;120;2602;45;;;;;;;1
SBMQ;AP0001;ALBERTO ALCOLUMBRE;MACAPÁ;AP;0° 3' 3'' N;51° 4' 13'' W;17 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RNS/AS;INTL PAX/CARGA; 08/26;1800 m;45 m;PCN 48/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-3680;0;0;0;PA2017-3680;;;;AP-1;Classe II;2ª;4C;NPA;50;-;PA2016-0908;-;PA2016-0908;-;-;-;X;-;SBMQ;BR_publico_Atualizadoem_19JUL2022;0,050833333;-51,07027778;17;80;1800;45;;;;;;;1
SBMS;RN0002;DIX-SEPT ROSADO;MOSSORÓ;RN;5° 11' 45'' S;37° 21' 42'' W;23 m;VFR Diurno e IFR Diurno/Noturno;-;-; 05/23;1900 m;30 m;PCN 31/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4773;0;0;0;PA2021-4773;;;;AP-1;Classe I;4ª;2C;NPA;;PA2019-0759;-;PA2019-0759;-;-;-;-;;-;SBMS;BR_publico_Atualizadoem_19JUL2022;-5,195833333;-37,36166667;23;50;1900;30;;;;;;;1
SBMT;SP0007;CAMPO DE MARTE;SÃO PAULO;SP;23° 30' 24'' S;46° 38' 2'' W;722 m;VFR Diurno/Noturno;-;-; 12/30;1600 m;45 m;PCN 16/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;11  28;quadrado;25 m x25 m;4 t;Paralelepípedo;PA2015-2143;0;0;0;PA2015-2143;;;;AP-0;Classe II;3ª;-;-;-;-;-;-;-;-;-;-;;-;SBMT;BR_publico_Atualizadoem_19JUL2022;-23,50666667;-46,63388889;722;120;1600;45;;;;;;;1
SBMY;AM0015;MANICORÉ;MANICORÉ;AM;5° 49' 1'' S;61° 17' 2'' W;53 m;VFR Diurno;-;-; 05/23;1265 m;30 m;PCN 12/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2011-1706;0;0;0;PA2011-1706;;;;AP-1;Classe I;-;2C;NINST;7;-;PA2016-0908;-;PA2016-0908;-;-;-;X;-;SBMY;BR_publico_Atualizadoem_19JUL2022;-5,816944444;-61,28388889;53;50;1265;30;;;;;;;1
SBNF;SC0002;MINISTRO VICTOR KONDER;NAVEGANTES;SC;26° 52' 43'' S;48° 39' 3'' W;5 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 07/25;1701 m;45 m;PCN 33/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2013-3372;0;0;0;PA2013-3372;;;;AP-2;Classe III;2ª;4C;NPA;;PA2022-7620;-;PA2022-7620;-;-;-;-;;-;SBNF;BR_publico_Atualizadoem_19JUL2022;-26,87861111;-48,65083333;5;70;1701;45;;;;;;;1
SBNM;RS0008;SANTO ÂNGELO;SANTO ÂNGELO;RS;28° 16' 54'' S;54° 10' 6'' W;322 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 12/30;1625 m;30 m;PCN 35/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-3072;0;0;0;PA2019-3072;;;;AP-1;Classe I;4ª;3C;NPA;;PA2019-0746;PA2022-8456;PA2019-0746;PA2022-8456;-;-;-;;-;SBNM;BR_publico_Atualizadoem_19JUL2022;-28,28166667;-54,16833333;322;120;1625;30;;;;;;;1
SBOI;AP0002;OIAPOQUE;OIAPOQUE;AP;3° 51' 41'' N;51° 47' 46'' W;19 m;VFR Diurno e IFR Diurno;-;-; 03/21;1200 m;30 m;PCN 10/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD1984-0039;PD1993-0516;PD1993-0602;0;PD1984-0039;PD1993-0516;PD1993-0602;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;X;-;SBOI;BR_publico_Atualizadoem_19JUL2022;3,861388889;-51,79611111;19;30;1200;30;;;;;;;1
SBPA;RS0001;SALGADO FILHO;PORTO ALEGRE;RS;29° 59' 41'' S;51° 10' 16'' W;4 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 11/29;3200 m;45 m;PCN 72/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-1446;0;0;0;PA2014-1446;;;;AP-3;Classe IV;1ª;4E;PA2(11) / NPA(29);;PA2018-3651 / PA2019-3338;-;PA2018-3651 / PA2019-3338;-;-;-;-;;-;SBPA;BR_publico_Atualizadoem_19JUL2022;-29,99472222;-51,17111111;4;110;3200;45;;;;;;;1
SBPB;PI0002;AEROPORTO INTERNACIONAL DE PARNAÍBA / PREFEITO DOUTOR JOÃO SILVA FILHO;PARNAÍBA;PI;2° 53' 38'' S;41° 43' 49'' W;5 m;VFR Diurno/Noturno;RNS;INTL PAX; 10/28;2500 m;45 m;PCN 52/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2013-1946;0;0;0;PA2013-1946;;;;AP-1;Classe I;3ª;3C;NINST;9;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;-;-;;-;SBPB;BR_publico_Atualizadoem_19JUL2022;-2,893888889;-41,73027778;5;100;2500;45;;;;;;;1
SBPC;MG0018;EMBAIXADOR WALTHER MOREIRA SALLES;POÇOS DE CALDAS;MG;21° 50' 16'' S;46° 33' 58'' W;1261 m;VFR Diurno e IFR Diurno;-;-; 09/27;1515 m;30 m;PCN 14/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-0534;0;0;0;PA2019-0534;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-;SBPC;BR_publico_Atualizadoem_19JUL2022;-21,83777778;-46,56611111;1261;90;1515;30;;;;;;;1
